Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_sort_array_by_wrong2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_sort_array_by_wrong2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_when_type_wrong.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_when_type_wrong.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_istrue_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_istrue_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_isfalse_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_isfalse_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_split_wrong_type2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_split_wrong_type2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_format_number_wrong2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_format_number_wrong2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_trunc_wrong_type2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_trunc_wrong_type2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_grouping_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_grouping_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_array_append_1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_array_append_1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_array_compact_1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_array_compact_1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_field_wrong_args_len.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_field_wrong_args_len.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_isnottrue_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_isnottrue_wrong_type1.q.out,,"[0, [[27, 37]]]"
